RecordType,CountryCode,Year,Month,NoDistinctVessels,AnonymizedVesselID,C-square,MetierL4,MetierL5,MetierL6,VesselLengthRange,AverageFishingSpeed,FishingHour,AverageVesselLength,AveragekW,kWFishingHour,TotWeight,TotValue,AverageGearWidth
VE,RU,1969,17,5,non-vocabulary,non-vocabulary,DRB,SPF,non-vocabulary,A,0.875136460410431,0.629073416581377,0.0937883779406548,0.587107436498627,0.583166918018833,0.956482289358974,0.294606221839786,0.81403415906243
VE,NE,2010,3,8,non-vocabulary,non-vocabulary,LHM,MIS,non-vocabulary,B,0.596181981032714,0.906508608488366,0.134794342564419,0.958200615132228,0.865453725447878,0.399185563670471,0.743450419511646,0.467142437817529
VE,NR,1992,10,12,non-vocabulary,non-vocabulary,SDN,SPF,non-vocabulary,B,0.639774484094232,0.430146453902125,0.62908168300055,0.277641053777188,0.449480376672,0.130066634854302,0.468830095371231,0.313770680688322
VE,LA,1971,10,3,non-vocabulary,non-vocabulary,GNS,ANA,non-vocabulary,H,0.651833882788196,0.267981304321438,0.353936168830842,0.644527805736288,0.387265248224139,0.532408067025244,0.497042355127633,0.533998689847067
VE,SA,2004,7,11,non-vocabulary,non-vocabulary,FPN,FWS,non-vocabulary,A,0.0952622683253139,0.396303790621459,0.603042596718296,0.689998524729162,0.568662334000692,0.683481715386733,0.309431380592287,0.617072435561568
VE,EH,2018,18,17,non-vocabulary,non-vocabulary,PTM,CAT,non-vocabulary,B,0.467532973736525,0.498825944028795,0.164024400291964,0.207856140099466,0.356132075190544,0.746966779930517,0.815506502520293,0.495330706005916
VE,KM,1991,5,11,non-vocabulary,non-vocabulary,MIS,DEF,non-vocabulary,C,0.420613570371643,0.319904271047562,0.885322333313525,0.582634086720645,0.882442982168868,0.0306649685371667,0.272458470892161,0.736296131974086
VE,GF,1994,15,18,non-vocabulary,non-vocabulary,PTB,MOL,non-vocabulary,D,0.628913996974006,0.795646618353203,0.816495743580163,0.302058880915865,0.10344982217066,0.272914951201528,0.339506577234715,0.908619250170887
VE,SZ,1976,6,19,non-vocabulary,non-vocabulary,LHM,SLP,non-vocabulary,A,0.840535016031936,0.106582814594731,0.0816258757840842,0.853912253165618,0.2274123292882,0.830038929590955,0.0807891110889614,0.352527813287452
VE,AE,2022,3,15,non-vocabulary,non-vocabulary,GTR,MCF,non-vocabulary,C,0.641234883107245,0.121133820153773,0.754702516831458,0.688714272808284,0.837872736388817,0.570052224909887,0.80454714759253,0.0263928705826402
VE,HR,1998,20,18,non-vocabulary,non-vocabulary,LLS,CEP,non-vocabulary,H,0.195802198257297,0.641634072875604,0.706339231692255,0.430346302222461,0.958065196871758,0.00247304770164192,0.378124261274934,0.00675337109714746
VE,ZRCD,1994,20,7,non-vocabulary,non-vocabulary,HMD,SPF,non-vocabulary,I,0.372031525708735,0.689934415742755,0.125388279557228,0.120582821546122,0.869787972420454,0.242885938379914,0.47854483500123,0.0919424807652831
VE,GB-WLS,1981,20,9,non-vocabulary,non-vocabulary,LA,CAT,non-vocabulary,I,0.927402409026399,0.414542185608298,0.894850977463648,0.431355634471402,0.885224726051092,0.563194394810125,0.244525359245017,0.783988939132541
VE,UZ,2021,18,10,non-vocabulary,non-vocabulary,HMD,ANA,non-vocabulary,I,0.967488937778398,0.523975029820576,0.76261519594118,0.595386325614527,0.529001065995544,0.351072448072955,0.817756698001176,0.378472362877801
VE,PT-30,1968,5,5,non-vocabulary,non-vocabulary,LHM,SLP,non-vocabulary,I,0.635550044942647,0.229471273254603,0.713566916063428,0.244913174072281,0.182454514317214,0.459395860787481,0.528568698093295,0.854374532587826
VE,UM,2021,9,2,non-vocabulary,non-vocabulary,PTM,DWS,non-vocabulary,A,0.00722729018889368,0.425767780980095,0.998528510332108,0.225370379397646,0.975201060762629,0.2905251479242,0.833213456440717,0.608683675527573
VE,VDVN,2014,11,7,non-vocabulary,non-vocabulary,SDN,DWS,non-vocabulary,B,0.0890264259651303,0.640207916032523,0.346417523687705,0.866747935768217,0.0560798507649451,0.602312526665628,0.97530056280084,0.544495122274384
VE,IM,1983,4,11,non-vocabulary,non-vocabulary,TBB,MIS,non-vocabulary,H,0.51041382481344,0.641066691605374,0.878412584308535,0.251609473256394,0.483552520163357,0.69844782166183,0.697740607894957,0.607742064399645
VE,NTHH,2002,20,18,non-vocabulary,non-vocabulary,LTL,ANA,non-vocabulary,C,0.219786531291902,0.272928052349016,0.653660864802077,0.146115424111485,0.743899916764349,0.603100632550195,0.00900049624033272,0.406826889142394
VE,MIUM,2021,12,10,non-vocabulary,non-vocabulary,HMD,MIS,non-vocabulary,A,0.0767102856189013,0.582649873103946,0.533586721867323,0.718666126020253,0.850096937268972,0.295850282302126,0.0640925588086247,0.26985617983155
